gameID,platform,count_comp,count_total,comp_main,comp_plus,comp_100,comp_low,comp_high
27,PlayStation 3,14.0,29.0,26576.0,18294.0,0.0,15900.0,54000.0
27,Wii U,15.0,19.0,26674.0,33286.0,37080.0,19800.0,44340.0
27,Xbox 360,16.0,39.0,20772.0,30930.0,35610.0,12600.0,36000.0
28,PC,3.0,7.0,1200.0,0.0,1500.0,900.0,1500.0
28,PlayStation 3,0.0,5.0,0.0,0.0,0.0,0.0,0.0
28,Wii U,2.0,3.0,1800.0,0.0,0.0,1800.0,1800.0
28,Xbox 360,2.0,3.0,1895.0,0.0,0.0,1089.0,2700.0
33,Nintendo 3DS,3.0,4.0,1800.0,12060.0,3660.0,1800.0,12060.0
33,Nintendo DS,2.0,3.0,0.0,21150.0,0.0,5760.0,36540.0
30,Amstrad CPC,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,PC,1.0,2.0,2880.0,0.0,0.0,2880.0,2880.0
31,Xbox 360,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,PC,6.0,66.0,5010.0,0.0,4755.0,1140.0,7200.0
34,Arcade,1.0,1.0,1800.0,0.0,0.0,1800.0,1800.0
34,Emulated,1.0,1.0,1260.0,0.0,0.0,1260.0,1260.0
34,NES,15.0,25.0,1848.0,3032.0,5543.0,1190.0,7200.0
39,Nintendo DS,3.0,4.0,4878.0,9618.0,72000.0,4878.0,72000.0
37,PC,50.0,132.0,13741.0,19080.0,19438.0,3600.0,39600.0
38,Mobile,47.0,89.0,16096.0,21641.0,18531.0,6900.0,36000.0
38,PC,230.0,703.0,24155.0,28191.0,39665.0,4380.0,151860.0
40,Dreamcast,2.0,9.0,0.0,19800.0,19464.0,19464.0,19800.0
40,Game Boy Color,2.0,9.0,9330.0,0.0,0.0,9060.0,9600.0
40,PC,4.0,24.0,0.0,22200.0,51720.0,19200.0,72960.0
40,PlayStation,18.0,58.0,22501.0,24086.0,26116.0,15544.0,32400.0
40,PlayStation 2,1.0,1.0,21600.0,0.0,0.0,21600.0,21600.0
41,Emulated,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,Nintendo 64,27.0,131.0,8916.0,37800.0,41255.0,1200.0,72000.0
41,Wii,1.0,4.0,10800.0,0.0,0.0,10800.0,10800.0
41,Wii U,2.0,5.0,10170.0,9600.0,0.0,9600.0,10170.0
42,Emulated,3.0,3.0,3840.0,0.0,28800.0,3600.0,28800.0
42,Nintendo GameCube,16.0,45.0,11679.0,60880.0,34603.0,3445.0,81000.0
44,PC,0.0,5.0,0.0,0.0,0.0,0.0,0.0
46,PC,10.0,18.0,26175.0,44156.0,23400.0,21600.0,58800.0
48,Dreamcast,5.0,18.0,3256.0,0.0,0.0,1638.0,3960.0
48,Emulated,3.0,3.0,2118.0,0.0,2700.0,1800.0,2700.0
