,Unnamed: 0,img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
56,30,/games/boxart/7540650ccc.jpg,Metal Gear Solid 2: Sons of Liberty,PS2,Action,Konami,Konami Computer Entertainment Japan,,9.5,7.0,,6.05,2.45,0.87,2.01,0.72,2001-11-12,
57,22734,/games/boxart/default.jpg,Metal Gear Solid 2: Sons of Liberty,PS3,Misc,Konami Digital Entertainment,Unknown,,,,,,,,,,2011-11-08,
58,22735,/games/boxart/default.jpg,Metal Gear Solid 2: Sons of Liberty,X360,Misc,Konami Digital Entertainment,Unknown,,,,,,,,,,2011-11-08,
59,22736,/games/boxart/default.jpg,Metal Gear Solid 2: Sons of Liberty,PC,Misc,Konami Digital Entertainment,Unknown,,,,,,,,,,2003-03-27,
60,32,/games/boxart/full_9894043AmericaFrontccc.jpg,Metal Gear Solid 4: Guns of the Patriots,PS3,Action,Konami,Kojima Productions,9.5,9.3,9.8,,6.0,2.63,0.83,1.72,0.81,2008-06-12,
61,33,/games/boxart/full_421168AmericaFrontccc.jpg,Uncharted: The Nathan Drake Collection,PS4,Action,Sony Computer Entertainment,Bluepoint Games,,,,,5.7,2.55,0.1,2.11,0.94,2015-10-07,
62,34,/games/boxart/full_2958031AmericaFrontccc.jpg,LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,Traveller's Tales,,8.0,,,5.66,3.57,,1.57,0.52,2007-11-06,
63,45,/games/boxart/full_5884504AmericaFrontccc.jpg,LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,Traveller's Tales,,7.8,,,4.77,2.83,,1.49,0.45,2007-11-06,
64,116,/games/boxart/full_4841835AmericaFrontccc.jpg,LEGO Star Wars: The Complete Saga,X360,Action,LucasArts,Traveller's Tales,,,,,2.59,1.53,,0.83,0.24,2007-11-06,
65,136,/games/boxart/full_7482376AmericaFrontccc.jpg,LEGO Star Wars: The Complete Saga,PS3,Action,LucasArts,Traveller's Tales,,8.0,,,2.31,1.02,,0.93,0.36,2007-11-06,
66,5223,/games/boxart/full_6412770AmericaFrontccc.jpg,LEGO Star Wars: The Complete Saga,XBL,Action,LucasArts,Traveller's Tales,,,,,,,,,,2009-08-11,2018-12-01
67,22334,/games/boxart/default.jpg,LEGO Star Wars: The Complete Saga,OSX,Misc,LucasArts,Unknown,,,,,,,,,,2010-11-16,
68,22335,/games/boxart/default.jpg,LEGO Star Wars: The Complete Saga,PC,Misc,LucasArts,Unknown,,,,,,,,,,2009-10-13,
69,35,/games/boxart/full_5252150AmericaFrontccc.jpg,Assassin's Creed II,PS3,Action,Ubisoft,Ubisoft Montreal,9.0,9.0,,,5.57,2.54,0.21,1.95,0.86,2009-11-17,2018-01-03
70,39,/games/boxart/full_8353337AmericaFrontccc.jpg,Assassin's Creed II,X360,Action,Ubisoft,Ubisoft Montreal,9.0,9.1,,,5.3,3.14,0.08,1.55,0.52,2009-11-17,
71,643,/games/boxart/full_5697972AmericaFrontccc.jpg,Assassin's Creed II,PC,Action,Ubisoft,Ubisoft Montreal,,8.5,,,0.54,0.01,,0.45,0.07,2010-03-09,
72,3459,/games/boxart/full_assassins-creed-2_3AmericaFront.jpg,Assassin's Creed II,XBL,Action,Ubisoft,Ubisoft Montreal,,9.2,,,,,,,,2010-09-28,
73,36,/games/boxart/full_7562642AmericaFrontccc.jpg,Assassin's Creed,X360,Action,Ubisoft,Ubisoft Montreal,7.5,8.2,8.0,,5.55,3.28,0.07,1.64,0.56,2007-11-13,
74,44,/games/boxart/full_2363378AmericaFrontccc.jpg,Assassin's Creed,PS3,Action,Ubisoft,Ubisoft Montreal,7.5,8.2,8.5,,4.83,1.91,0.09,2.01,0.82,2007-11-13,
75,3449,/games/boxart/full_assassins-creed_382AmericaFront.jpg,Assassin's Creed,PSN,Action,Ubisoft,Ubisoft Montreal,,8.4,,,,,,,,2011-04-12,
76,8138,/games/boxart/full_8761992AmericaFrontccc.jpg,Assassin's Creed,PC,Adventure,Ubisoft,Ubisoft Montreal,,7.6,,,0.91,0.01,,0.84,0.06,2008-04-08,2018-11-23
77,10334,/games/boxart/full_1338990AmericaFrontccc.jpg,Assassin's Creed,XBL,Adventure,Ubisoft,Ubisoft Montreal,7.5,8.2,,,,,,,,2009-08-06,
79,37,/games/boxart/full_batman-arkham-city_591AmericaFront.jpg,Batman: Arkham City,PS3,Action,Warner Bros. Interactive,Rocksteady Studios,,9.6,,,5.54,2.72,0.11,1.89,0.82,2011-10-18,
80,46,/games/boxart/full_batman-arkham-city_302AmericaFront.jpg,Batman: Arkham City,X360,Action,Warner Bros. Interactive,Rocksteady Studios,,9.5,,,4.75,2.99,0.04,1.28,0.44,2011-10-18,
81,124,/games/boxart/full_batman-arkham-city_659AmericaFront.jpg,Batman: Arkham City,PC,Action,Warner Bros. Interactive,Rocksteady Studios,,9.0,,2.47,,,,,,2011-11-22,
82,38,/games/boxart/full_5321723AmericaFrontccc.jpg,Tomb Raider (2013),PC,Action,Square Enix,Crystal Dynamics,,8.8,,5.5,,,,,,2013-03-05,2018-01-06
83,119,/games/boxart/full_7814840AmericaFrontccc.jpg,Tomb Raider (2013),PS3,Action,Square Enix,Crystal Dynamics,,8.9,,,2.51,0.6,0.08,1.45,0.38,2013-03-05,2018-01-06
84,167,/games/boxart/full_6890376AmericaFrontccc.jpg,Tomb Raider (2013),X360,Action,Square Enix,Crystal Dynamics,,8.5,,,1.9,0.86,0.01,0.87,0.16,2013-03-05,2018-01-06
85,40,/games/boxart/full_989928AmericaFrontccc.jpg,Resident Evil 5,PS3,Action,Capcom,Capcom,8.4,8.6,8.8,,5.1,1.96,1.08,1.42,0.64,2009-03-13,
86,79,/games/boxart/full_2466064AmericaFrontccc.jpg,Resident Evil 5,X360,Action,Capcom,Capcom,8.4,8.6,,,3.53,2.13,0.12,0.93,0.34,2009-03-13,
87,358,/games/boxart/full_4994251AmericaFrontccc.png,Resident Evil 5,PC,Action,Capcom,Capcom,,8.9,,1.01,,,,,,2009-09-15,
88,2199,/games/boxart/full_4601006AmericaFrontccc.jpg,Resident Evil 5,PS4,Action,Capcom,Capcom,,,,,0.07,0.05,0.01,,0.01,2016-07-12,2018-09-04
89,2525,/games/boxart/full_5612658AmericaFrontccc.jpg,Resident Evil 5,XOne,Action,Capcom,Capcom,,,,,0.04,0.04,,,0.0,2016-07-12,2018-09-04
90,5911,/games/boxart/full_resident-evil-5_654AmericaFront.jpg,Resident Evil 5,XBL,Action,Capcom,Capcom,,,,,,,,,,2010-02-16,
91,7762,/games/boxart/full_3238949AmericaFrontccc.png,Resident Evil 5,NS,Action,Capcom,Capcom,,,,,,,,,,2019-10-29,2019-06-16
92,41,/games/boxart/full_1162504AmericaFrontccc.jpg,Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,,8.4,,,5.08,1.7,0.16,2.03,1.19,2006-10-31,
93,374,/games/boxart/1161187ccc.jpg,Grand Theft Auto: Vice City Stories,PS2,Action,Rockstar Games,Rockstar Leeds,,,,,0.97,0.78,0.03,0.03,0.13,2007-03-05,
94,4772,/games/boxart/full_2647184AmericaFrontccc.png,Grand Theft Auto: Vice City Stories,PSN,Action,Rockstar Games,Rockstar Leeds,,8.6,,,,,,,,2009-10-21,
95,42,/games/boxart/full_7863698AmericaFrontccc.jpg,Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,Naughty Dog,8.7,8.7,8.6,,4.97,2.32,0.12,1.73,0.8,2007-11-16,
96,47,/games/boxart/full_6536899AmericaFrontccc.jpg,Driver 2,PS,Action,Atari,Reflections Interactive,,7.0,,,4.73,2.36,0.02,2.1,0.25,2000-11-13,
97,48,/games/boxart/8307809ccc.jpg,The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,Stormfront Studios,,8.3,,,4.67,1.94,0.08,1.95,0.7,2002-10-21,
98,481,/games/boxart/full_258178AmericaFrontccc.jpg,The Lord of the Rings: The Two Towers,GBA,Action,Electronic Arts,Griptonite Games,,,,,0.74,0.53,,0.2,0.01,2002-11-11,
99,495,/games/boxart/6668446ccc.jpg,The Lord of the Rings: The Two Towers,XB,Action,Electronic Arts,Stormfront Studios,,,,,0.71,0.45,,0.24,0.03,2002-12-30,
100,663,/games/boxart/full_8272755AmericaFrontccc.jpg,The Lord of the Rings: The Two Towers,GC,Action,Electronic Arts,Stormfront Studios,,,,,0.53,0.41,,0.11,0.01,2002-12-30,
101,51,/games/boxart/full_dead-island_410AmericaFront.jpg,Dead Island,PC,Action,Deep Silver,Techland,,7.1,,4.52,,,,,,2011-09-06,
102,129,/games/boxart/full_dead-island_121AmericaFront.jpg,Dead Island,X360,Action,Deep Silver,Techland,,7.0,,,2.38,1.48,,0.7,0.21,2011-09-06,
103,138,/games/boxart/full_dead-island_140AmericaFront.jpg,Dead Island,PS3,Action,Deep Silver,Techland,,6.7,,,2.29,1.08,0.15,0.74,0.32,2011-09-06,
105,53,/games/boxart/full_1311455AmericaFrontccc.jpg,Monster Hunter Generations,3DS,Action,Capcom,Capcom,,8.8,,4.3,,,,,,2016-07-15,2018-01-30
106,54,/games/boxart/full_8831048AmericaFrontccc.jpg,Batman: Arkham Asylum,PS3,Action,Eidos Interactive,Rocksteady Studios,9.1,9.0,,,4.28,2.26,0.07,1.33,0.63,2009-08-25,
107,76,/games/boxart/full_1668550AmericaFrontccc.jpg,Batman: Arkham Asylum,X360,Action,Eidos Interactive,Rocksteady Studios,9.0,9.1,,,3.54,2.24,0.02,0.95,0.33,2009-08-25,
108,140,/games/boxart/full_4543143AmericaFrontccc.jpg,Batman: Arkham Asylum,PC,Action,Eidos Interactive,Rocksteady Studios,,9.3,,2.24,,,,,,2009-09-15,
109,55,/games/boxart/full_9897259AmericaFrontccc.jpg,God of War II,PS2,Action,Sony Computer Entertainment,SCEA Santa Monica Studio,,9.3,9.8,4.24,,,,,,2007-03-13,
110,56,/games/boxart/full_assassins-creed-revelations_212AmericaFront.jpg,Assassin's Creed: Revelations,PS3,Action,Ubisoft,Ubisoft Montreal,,8.8,,,4.23,1.41,0.1,2.03,0.69,2011-11-15,
111,58,/games/boxart/full_assassins-creed-revelations_328AmericaFront.jpg,Assassin's Creed: Revelations,X360,Action,Ubisoft,Ubisoft Montreal,,7.9,,,4.22,2.28,0.04,1.47,0.44,2011-11-15,
112,470,/games/boxart/full_assassins-creed-revelations_376AmericaFront.jpg,Assassin's Creed: Revelations,PC,Action,Ubisoft,Ubisoft Montreal,,,,,0.76,0.16,,0.49,0.11,2011-11-29,
113,57,/games/boxart/full_2666802AmericaFrontccc.jpg,Metal Gear Solid 3: Snake Eater,PS2,Action,Konami,KCEJ / Kojima Productions,,9.0,,,4.23,1.46,0.83,0.0,1.93,2004-11-17,
114,22737,/games/boxart/default.jpg,Metal Gear Solid 3: Snake Eater,PS3,Misc,Konami Digital Entertainment,Unknown,,,,,,,,,,2011-11-08,
115,22738,/games/boxart/default.jpg,Metal Gear Solid 3: Snake Eater,X360,Misc,Konami Digital Entertainment,Unknown,,,,,,,,,,2011-11-08,
116,59,/games/boxart/full_8931458AmericaFrontccc.jpg,7 Days to Die,PC,Action,The Fun Pimps,The Fun Pimps,,,,4.18,,,,,,2013-12-13,2018-05-31
117,1413,/games/boxart/full_3664066AmericaFrontccc.jpg,7 Days to Die,PS4,Action,Telltale Games,The Fun Pimps,,,,,0.21,0.09,,0.08,0.03,2016-06-28,2018-05-31
118,1903,/games/boxart/full_9563805AmericaFrontccc.jpeg,7 Days to Die,XOne,Action,Telltale Games,The Fun Pimps,,,,,0.12,0.09,,0.02,0.01,2016-06-28,2018-05-31
119,60,/games/boxart/full_2386162AmericaFrontccc.jpg,Just Cause 2,PC,Action,Eidos Interactive,Avalanche Studios,7.8,8.2,,4.16,,,,,,2010-03-23,
120,188,/games/boxart/full_664593AmericaFrontccc.jpg,Just Cause 2,PS3,Action,Square Enix,Avalanche Studios,7.8,8.3,,,1.75,0.45,0.06,0.92,0.32,2010-03-23,
121,209,/games/boxart/full_2327598AmericaFrontccc.jpg,Just Cause 2,X360,Action,Square Enix,Avalanche Studios,7.8,8.0,,,1.6,0.59,0.02,0.83,0.17,2010-03-23,
122,5081,/games/boxart/full_just-cause-2_150AmericaFront.jpg,Just Cause 2,XBL,Action,Square Enix,Avalanche Studios,,,,,,,,,,2010-12-28,
123,62,/games/boxart/full_9858108AmericaFrontccc.jpg,Assassin's Creed: Unity,PS4,Action,Ubisoft,Ubisoft Montreal,,,,,4.14,1.25,0.09,2.16,0.65,2014-11-11,2018-05-04
124,73,/games/boxart/full_8320518AmericaFrontccc.jpg,Assassin's Creed: Unity,XOne,Action,Ubisoft,Ubisoft Montreal,,,,,3.58,2.34,0.0,0.9,0.34,2014-11-11,2018-05-04
125,625,/games/boxart/full_7768353AmericaFrontccc.jpg,Assassin's Creed: Unity,PC,Action,Ubisoft,Ubisoft Montreal,,,,,0.56,0.2,,0.31,0.04,2014-11-11,2018-05-04
126,63,/games/boxart/full_2497280AmericaFrontccc.jpg,Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive,Rocksteady Studios,,8.1,,,4.11,1.65,0.11,1.68,0.66,2015-06-23,2018-01-04
127,211,/games/boxart/full_7538612AmericaFrontccc.jpg,Batman: Arkham Knight,XOne,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,,,,,1.58,0.97,,0.46,0.14,2015-06-23,2018-01-04
128,248,/games/boxart/full_2938427PALFrontccc.jpg,Batman: Arkham Knight,PC,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,,,,1.4,,,,,,2015-06-23,2018-01-04
129,64,/games/boxart/full_9947060AmericaFrontccc.jpg,Assassin's Creed Origins,PS4,Action,Ubisoft,Ubisoft Montreal,,,,,4.06,1.22,0.11,2.11,0.63,2017-10-27,2018-01-10
130,123,/games/boxart/full_9921323AmericaFrontccc.jpg,Assassin's Creed Origins,XOne,Action,Ubisoft,Ubisoft Montreal,,,,,2.47,1.34,,0.92,0.22,2017-10-27,2018-01-10
131,349,/games/boxart/full_9843027AmericaFrontccc.jpg,Assassin's Creed Origins,PC,Action,Ubisoft,Ubisoft Montreal,,,,1.03,,,,,,2017-10-27,2018-01-10
132,65,/games/boxart/full_9898553AmericaFrontccc.png,Monster Hunter: World,PS4,Action,Capcom,Capcom,,9.3,9.0,4.0,,,,,,2018-01-26,2018-01-30
133,393,/games/boxart/full_2972651AmericaFrontccc.jpg,Monster Hunter: World,XOne,Action,Capcom,Capcom,8.0,9.4,,,0.93,0.67,,0.17,0.09,2018-01-26,2018-01-30
134,5444,/games/boxart/full_2089289AmericaFrontccc.jpg,Monster Hunter: World,PC,Action,Capcom,Capcom,,,,,,,,,,2018-08-09,2018-07-19
135,67,/games/boxart/full_423137AmericaFrontccc.jpg,The Last of Us: Part II,PS4,Action,Sony Interactive Entertainment,Naughty Dog,,,,4.0,,,,,,2020-06-19,2020-04-10
136,68,/games/boxart/full_2414906AmericaFrontccc.jpg,Far Cry 5,PS4,Action,Ubisoft,Ubisoft,,7.9,,,3.95,1.44,0.15,1.73,0.62,2018-03-27,2018-02-28
137,181,/games/boxart/full_4313557AmericaFrontccc.jpg,Far Cry 5,XOne,Action,Ubisoft,Ubisoft Montreal,,7.2,,,1.78,1.14,,0.47,0.17,2018-03-27,2018-02-28
138,2208,/games/boxart/full_6902342AmericaFrontccc.jpg,Far Cry 5,PC,Action,Ubisoft,Ubisoft,,6.3,,,0.07,,,0.07,0.0,2018-02-27,2018-07-19
139,71,/games/boxart/full_8195643AmericaFrontccc.jpg,Diablo III: Reaper of Souls,PC,Action,Blizzard Entertainment,Blizzard Entertainment,,,,3.7,,,,,,2014-03-25,2019-01-10
140,75,/games/boxart/9254920ccc.jpg,The Getaway,PS2,Action,Sony Computer Entertainment,Team Soho,,7.7,,,3.54,1.23,0.05,1.77,0.49,2003-01-19,
141,77,/games/boxart/full_assassins-creed-brotherhood_1AmericaFront.jpg,Assassin's Creed: Brotherhood,X360,Action,Ubisoft,Ubisoft Montreal,,9.1,,,3.53,2.87,0.03,0.39,0.25,2010-11-16,
