,Developer,Notable games,selected_titles,selected_titles_series
467,sega am3,Crazy Taxi seriesVirtua Tennis series,[],[]
468,sega sports r&d,Panzer Dragoon seriesJet Set Radio seriesLet's Make a Soccer Team! seriesMario & Sonic at the Olympic Games series,['Mario & Sonic at the Olympic Games'],"['Mario & Sonic at the Olympic Winter Games', 'Mario & Sonic at the Olympic Games']"
469,sega sports r&d,Panzer Dragoon seriesJet Set Radio seriesLet's Make a Soccer Team! seriesMario & Sonic at the Olympic Games series,[],"['Mario & Sonic at the Sochi 2014 Olympic Winter Games', 'Mario & Sonic at the Rio 2016 Olympic Games']"
470,sensible software,Sensible Soccer seriesCannon Fodder seriesMega Lo ManiaWizballWizkidMicroprose SoccerShoot-'Em-Up Construction KitParallaxSensible Golf,"['Cannon Fodder', 'Mega Lo Mania', 'Sensible Soccer', 'Wizball', 'Sensible Golf']","['Sensible Soccer', 'Cannon Fodder', 'Mega Lo Mania', 'Wizball', 'Sensible Golf', 'Sensible World of Soccer', 'Cannon Fodder 2']"
471,shift,Ape Escape Academy seriesGod Eater series,[],"['God Eater 2', 'God Eater 2: Rage Burst', 'Gods Eater Burst', 'God Eater: Resurrection', 'Ape Academy 2']"
472,sie bend studio,Syphon Filter seriesDays Gone,['Days Gone'],['Days Gone']
473,sie japan studio,Ape Escape seriesIcoShadow of the ColossusSiren seriesPatapon seriesLoco Roco seriesGravity Rush seriesKnack seriesThe Last Guardian,[],['Knack II']
474,sie san diego studio,MLB: The Show series,[],"['MLB The Show 19', 'MLB 17: The Show']"
475,sie santa monica studio,God of War series,[],['God of War (2018)']
476,sce studio liverpool,Wipeout seriesFormula One seriesColony Wars series,[],"['Wipeout 2048', 'Formula One Championship Edition', 'Wipeout HD Fury', 'Wipeout HD', 'Wipeout 2048 - Wipeout HD Game Pack']"
477,singletrac,Twisted Metal 1–2Jet Moto 1–2Warhawk (1995),"['Jet Moto', 'Warhawk (1995)']","['Warhawk (1995)', 'Jet Moto']"
478,sherman3d,Alpha Kimori,[],[]
479,shin'en multimedia,Fast Racing League series,[],"['FAST Racing Neo', 'FAST Racing League', 'Fast RMX']"
480,sierra entertainment,Mystery HouseKing's Quest seriesSpace Quest seriesPolice Quest seriesLeisure Suit Larry seriesQuest for Glory seriesGabriel Knight series,[],"['Police Quest: SWAT', 'Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work', ""Pepper's Adventures in Time"", 'Betrayal in Antara', ""King's Quest IV: The Perils of Rosella"", 'EcoQuest: The Search for Cetus', 'Leisure Suit Larry III: Passionate Patti in Pursuit of the Pulsating Pectorals', 'Police Quest: Open Season', ""King's Quest VI: Heir Today, Gone Tomorrow""]"
481,silicon knights,Blood Omen: Legacy of KainEternal Darkness: Sanity's RequiemToo Human,"['Blood Omen: Legacy of Kain', ""Eternal Darkness: Sanity's Requiem"", 'Too Human']","['Too Human', ""Eternal Darkness: Sanity's Requiem"", 'Blood Omen: Legacy of Kain']"
482,silicon studio,Bravely Default series,[],"['Bravely Second: End Layer', 'Bravely Second: Demo Version - The Ballad of the Three Cavaliers']"
483,simtex,Master of Orion seriesMaster of Magic,[],"['Master of Magic (1994)', 'Master of Orion II: Battle at Antares', 'Master of Orion (1993)']"
484,skip ltd.,bit Generations seriesChibi-Robo! series,[],[]
485,skip ltd.,bit Generations seriesChibi-Robo! series,[],[]
486,slant six games,SOCOM U.S. Navy SEALs seriesResident Evil: Operation Raccoon City,[],"['SOCOM: U.S. Navy SEALs Tactical Strike', 'SOCOM: U.S. Navy SEALs Confrontation', 'SOCOM: U.S. Navy SEALs Fireteam Bravo 3']"
487,sledgehammer games,Call of Duty: Advanced Warfareco-developer of Call of Duty: Modern Warfare 3,['Call of Duty: Advanced Warfare'],['Call of Duty: Advanced Warfare']
488,snapshot games,Chaos Reborn,['Chaos Reborn'],['Chaos Reborn']
489,slightly mad studios,Project CARS series,['Project CARS'],"['Project CARS - Pagani Edition', 'Project Cars 2', 'Project CARS']"
490,slitherine software,Horrible Histories: Ruthless Romans,[],[]
491,smilegate,CrossFire series,[],['CrossFire (2009)']
492,smilegate,CrossFire series,[],[]
493,snk,Fatal Fury seriesThe King of Fighters seriesMetal Slug seriesSamurai Showdown seriesThe Last Blade seriesWorld Heroes series,['The Last Blade'],"['Ikari III: The Rescue', ""The King of Fighters '99"", 'Art of Fighting', 'P.O.W.: Prisoners of War', ""The King of Fighters '97"", 'The Last Blade', 'Rhythm of Fighters', 'Metal Slug 3', 'King of Fighters R-1', 'Fatal Fury 3: Road to the Final Victory', 'Samurai Shodown! 2', 'Samurai Shodown II', 'Art of Fighting 2', 'Samurai Shodown', 'The King of Fighters XIV', ""Samurai Shodown IV: Amakusa's Revenge"", 'The King of Fighters 2000', 'The King of Fighters Collection: The Orochi Saga', 'Super Sidekicks 2: The World Championship', 'Art of Fighting 3: The Path of the Warrior', 'Garou: Mark of the Wolves', 'Fatal Fury: Wild Ambition', ""The King of Fighters '94"", ""The King of Fighters '96"", 'Metal Slug 2', 'King of Fighters R-2', 'Samurai Shodown III: Blades of Blood', 'Samurai Shodown: Warriors Rage', ""The King of Fighters '95"", 'Fatal Fury: First Contact', ""The King of Fighters '98: The Slugfest"", 'Last Resort', 'SNK vs. Capcom: Card Fighters Clash', 'Real Bout Fatal Fury Special', 'The Last Blade: Beyond The Destiny', 'Real Bout Fatal Fury 2: The Newcomers', 'Burning Fight', 'Shinsetsu Samurai Spirits: Bushidou Retsuden', 'Real Bout Fatal Fury Special: Dominated Mind', 'Iron Tank: The Invasion of Normandy', 'The Last Blade 2', 'Real Bout Fatal Fury']"
494,snowblind studios,Top Gear OverdriveChampions of Norrath,"['Champions of Norrath', 'Top Gear Overdrive']","['Champions of Norrath', 'Top Gear Overdrive']"
495,software 2000,Pizza Tycoon series,[],"['Fast Food Tycoon', 'Fast Food Tycoon 2']"
496,sony computer entertainment,Various titles,[],[]
497,spellbound entertainment,Desperados seriesArcania: Gothic 4,[],"['ArcaniA: Gothic 4', ""Desperados 2: Cooper's Revenge""]"
498,spiders,The TechnomancerGreedFall,['The Technomancer'],['The Technomancer']
499,spike,Dragon Ball Z: Budokai Tenkaichi series,['Dragon Ball Z: Budokai Tenkaichi'],"['Dragon Ball Z: Tenkaichi Tag Team', 'Dragon Ball: Raging Blast', 'Dragon Ball Z: Budokai Tenkaichi 3', 'Dragon Ball: Raging Blast 2', 'Conception: Ore no Kodomo o Undekure!', 'Dragon Ball Z: For Kinect', 'Dragon Ball Z: Ultimate Tenkaichi', 'Dragon Ball Z: Budokai Tenkaichi', 'Fire Pro Wrestling D', 'Dragon Ball Z: Budokai Tenkaichi 2']"
500,spike chunsoft,Zero Escape seriesDanganronpa franchiseAI: The Somnium FilesMystery Dungeon franchise Pokémon Mystery Dungeon series Jump Force,"['Jump Force', 'AI: The Somnium Files']","['Zero Escape: The Nonary Games', 'Cyber Danganronpa VR: The Class Trial', 'Super Dangan Ronpa 2: Farewell Despair Academy', 'Zero Time Dilemma', 'Pokémon Mystery Dungeon: Gates to Infinity', 'Attack on Titan: Humanity in Chains', 'Mystery Chronicle: One Way Heroics', 'Pokémon Super Mystery Dungeon', 'Danganronpa 2: Goodbye Despair', 'Danganronpa V3: Killing Harmony', 'Danganronpa 1 & 2 Reload', 'AI: The Somnium Files', 'Danganronpa Another Episode: Ultra Despair Girls', 'Jump Force']"
502,splash damage,Enemy Territory: Quake WarsBrinkDirty Bomb,"['Brink', 'Dirty Bomb']","['Brink', 'Dirty Bomb']"
503,sproing interactive media,Cursed Mountain,[],[]
504,square enix,Final Fantasy franchiseMana seriesSaGa seriesChrono TriggerBrave Fencer MusashiStar Ocean franchiseValkyrie Profile seriesKingdom Hearts franchiseDragon Quest franchiseDrakengard series Nier series Bravely Default seriesOctopath TravelerFront Mission series,[],"[""Dragon Quest Monsters: Terry's Wonderland 3D"", 'Final Fantasy XIV: Soul Surrender DLC', 'Blood of Bahamut', 'Final Fantasy XV: Platinum Demo', 'Dragon Quest II: Luminaries of the Legendary Line (2014)', 'Dragon Quest XI: Echoes of an Elusive Age', 'Dawn of Mana', 'Final Fantasy X/X-2 HD Remaster', 'Final Fantasy Crystal Chronicles: Echoes of Time', 'Knights of the Crystals', 'Final Fantasy XIV: Heavensward DLC', 'Final Fantasy XIV: Dreams of Ice DLC', 'Dissidia 012 Prologus Final Fantasy', 'Final Fantasy XIV: Defenders of Eorzea DLC', 'Final Fantasy: All The Bravest', 'Final Fantasy XIV: The Gears of Change DLC', 'Kingdom Hearts HD 2.8 - Final Chapter Prologue', 'Crisis Core: Final Fantasy VII', 'Kingdom Hearts Unchained X', 'Kingdom Hearts Re:coded - HD 2.5 Remix', 'Final Fantasy XIV: Through the Maelstrom DLC', 'Secret of Mana (2018)', 'Final Fantasy XIV: Stormblood DLC', 'Final Fantasy XIII', 'The World Ends with You: Final Remix', 'Final Fantasy Crystal Chronicles: The Crystal Bearers', 'Nanashi no Game Me', 'Dragon Quest Builders', 'Mobius Final Fantasy', 'Final Fantasy III (3D)', 'Final Fantasy Crystal Chronicles: My Life as a Darklord', 'Final Fantasy XIV: A Realm Awoken DLC', 'Final Fantasy XV: Windows Edition', 'Kingdom Hearts Birth by Sleep Final Mix', 'Final Fantasy VI Advance', 'Final Fantasy XIV: The Far Edge of Fate DLC', 'Season of Mystery: The Cherry Blossom Murders', 'Dissidia: Final Fantasy', 'Final Fantasy XIV: Before the Fall DLC', 'Tales of Wedding Rings VR', 'Final Fantasy XII: The Zodiac Age', 'Final Fantasy Tactics A2: Grimoire of the Rift', 'Final Fantasy X-2 HD Remaster', 'Kingdom Hearts Re:Chain of Memories', 'Kingdom Hearts II Final Mix', 'Final Fantasy XI: Ultimate Collection', 'Final Fantasy Crystal Chronicles: Remastered Edition', 'Final Fantasy IV Interlude', 'Front Mission (DS)', 'Final Fantasy XIV: As Goes Light, So Goes Darkness DLC', 'Final Fantasy Crystal Chronicles: My Life as a King', 'Final Fantasy Crystal Chronicles: Ring of Fates', ""Dragon Quest Monsters 2: Iru and Luca's Marvelous Mysterious Key"", 'Front Mission 5: Scars of the War', 'Final Fantasy XI', ""A King's Tale: Final Fantasy XV"", 'Kingdom Hearts Final Mix', 'Final Fantasy XII', 'Kingdom Hearts: The Story So Far', 'Final Fantasy XII International Zodiac Job System', 'World of Final Fantasy', 'Kingdom Hearts HD 2.5 Remix', 'Final Fantasy XV: Pocket Edition']"
505,squad,Kerbal Space Program series,['Kerbal Space Program'],['Kerbal Space Program']
506,stainless games,Magic: The Gathering – Duels of the Planeswalkers series,[],"['Magic: The Gathering - Duels of the Planeswalkers 2013', 'Magic: The Gathering - Duels of the Planeswalkers 2012 Expansion', 'Magic: The Gathering - Duels of the Planeswalkers 2013 Expansion', 'Magic: The Gathering - Duels of the Planeswalkers', 'Magic Duels: Origins', 'Magic: The Gathering - Duels of the Planeswalkers 2015', 'Magic: The Gathering - Duels of the Planeswalkers 2014', 'Magic: The Gathering - Duels of the Planeswalkers 2012', 'Magic: The Gathering - Duels of the Planeswalkers 2014 - Expansion']"
507,stainless steel studios,Empire Earth,['Empire Earth'],['Empire Earth']
508,starbreeze studios,EnclaveRiddickSyndicateBrothers: A Tale of Two Sons,['Brothers: A Tale of Two Sons'],['Brothers: A Tale of Two Sons']
509,stardock,Galactic Civilizations series,['Galactic Civilizations'],"['Galactic Civilizations: Altarian Prophecy', 'Galactic Civilizations', 'Galactic Civilizations II: Twilight of the Arnor', 'Galactic Civilizations III', 'Galactic Civilizations II: Dread Lords', 'Galactic Civilizations II: Dark Avatar']"
510,sting entertainment,Baroque seriesDungeon Travelers series,['Baroque'],['Baroque']
511,strategic simulations,Gold Box seriesPanzer General series,['Panzer General'],"['Allied General', 'Panzer General 3D Assault', 'Panzer General', 'Pacific General', 'Fantasy General']"
512,strawdog studios,Geon series,[],[]
513,success,Touch Detective series,[],[]
514,sucker punch productions,Rocket: Robot on WheelsSly Cooper seriesInfamous seriesGhost of Tsushima,"['Rocket: Robot on Wheels', 'Ghost of Tsushima']","['Rocket: Robot on Wheels', 'Sly Cooper and the Thievius Raccoonus', 'inFAMOUS: Festival of Blood', 'Ghost of Tsushima', 'Sly 2: Band of Thieves', 'Sly 3: Honor Among Thieves']"
515,sumo digital,LittleBigPlanet 3Crackdown 3,[],[]
516,sumo digital,LittleBigPlanet 3Crackdown 3,[],[]
517,supercell,Clash of ClansHay DayBoom BeachClash Royale,"['Clash of Clans', 'Boom Beach', 'Hay Day', 'Clash Royale']","['Boom Beach', 'Clash Royale', 'Clash of Clans', 'Hay Day']"
518,supermassive games,Until Dawn,['Until Dawn'],['Until Dawn']
519,supervillain studios,Order Up!,['Order Up!'],['Order Up!']
521,stormregion,S.W.I.N.E.Codename: Panzers series,"['Codename: Panzers', 'S.W.I.N.E.']","['Codename: Panzers - Phase II', 'S.W.I.N.E.', 'Codename: Panzers']"
522,stormregion,S.W.I.N.E.Codename: Panzers series,[],[]
523,sunstorm interactive,Deer Hunter series,[],"['Deer Hunter 4: World-Class Record Bucks', 'Deer Hunter: Interactive Hunting Experience', ""Deer Hunter's Extended Season"", 'Deer Hunter II: Extended Season', 'Deer Hunter 3: The Legend Continues']"
524,syn sophia,WCW/nWo RevengeSimCity DS seriesStyle Savvy seriesPretty Series franchise Pretty Rhythm series PriPara series Pri Chan series,[],['Style Savvy: Styling Star']
525,syn sophia,WCW/nWo RevengeSimCity DS seriesStyle Savvy seriesPretty Series franchise Pretty Rhythm series PriPara series Pri Chan series,[],['Style Savvy: Trendsetters']
526,taito,Space InvadersBubble Bobble series,['Bubble Bobble'],"['Rainbow Islands: The Story of Bubble Bobble 2', 'Bubble Bobble Part 2', ""Bust a Move '99"", 'Bubble Bobble', 'Space Invaders Infinity Gene', ""Space Invaders '95"", 'Bubble Symphony', 'RC de Go!', 'Final Bubble Bobble', 'Space Gun', ""Super Space Invaders '91""]"
527,tango gameworks,The Evil Within seriesGhostwire: Tokyo,['The Evil Within'],"['The Evil Within 2', 'The Evil Within: The Assignment DLC', 'The Evil Within: The Consequence DLC', 'The Evil Within', 'The Evil Within: The Executioner DLC']"
528,taleworlds entertainment,Mount & Blade series,[],['Mount & Blade II: Bannerlord']
529,tamsoft,OneeChanbara seriesSenran Kagura series,[],"['Onechanbara Z: Kagura', 'Senran Kagura 2: Hipster DLC', 'Senran Kagura 2: Deep Crimson', 'Senran Kagura: Shinovi Versus', 'Senran Kagura 2: Waist Deep DLC', 'Senran Kagura: Peach Beach Splash', 'Senran Kagura 2: Busticated DLC', 'Senran Kagura Burst']"
530,t&e soft,Hydlide series,[],[]
531,t&e soft,Hydlide series,[],"['Hydlide 2', 'Super Hydlide']"
533,tarsier studios,Little Nightmares,['Little Nightmares'],['Little Nightmares']
534,tate multimedia,Urban Trial Freestyle,[],[]
535,team17,Alien Breed seriesWorms seriesThe Escapists series,['Alien Breed'],"['Worms 3', 'Worms Armageddon', 'Worms Collection', 'Worms 4: Mayhem', 'Alien Breed: Evolution', 'Alien Breed', 'Worms Battlegrounds', 'The Escapists: The Walking Dead', 'Alien Breed 3D', 'Alien Breed II: The Horror Continues', 'Worms: A Space Oddity', 'Worms World Party', 'Worms Forts: Under Siege', 'Alien Breed: Tower Assault', 'Alien Breed 3D II: The Killing Grounds', 'Worms 2']"
536,team bondi,L.A. Noire,[],[]
537,team ico,IcoShadow of the Colossus,['Ico'],['Ico']
538,team ico,IcoShadow of the Colossus,[],[]
539,team ninja,Ninja Gaiden seriesDead or Alive franchiseNioh seriesMarvel Ultimate Alliance 3,"['Dead or Alive', 'Nioh']","['Ninja Gaiden (2004)', 'Dead or Alive 5 Plus', 'Ninja Gaiden Sigma 2', 'Nioh', 'Ninja Gaiden Sigma', 'Dead or Alive Xtreme Beach Volleyball', 'Ninja Gaiden Sigma 2 Plus', 'Dead or Alive 5', 'Nioh - Defiant Honor DLC', 'Ninja Gaiden II (2008)', 'Dead or Alive Xtreme 2', 'Dead or Alive 3', 'Marvel Ultimate Alliance 3: The Black Order', 'Ninja Gaiden Black', 'Ninja Gaiden Sigma Plus', 'Dead or Alive 2', 'Dead or Alive 4', 'Dead or Alive', 'Dead or Alive 2: Hardcore', ""Nioh - Bloodshed's End DLC"", 'Ninja Gaiden Dragon Sword', 'Dead or Alive Xtreme 3: Fortune', ""Ninja Gaiden 3: Razor's Edge"", 'Dead or Alive Ultimate', 'Ninja Gaiden 3', 'Dead or Alive: Dimensions', 'Dead or Alive 5 Ultimate']"
540,techland,Chrome seriesCall Of Juarez seriesDead Island seriesDying Light,"['Chrome', 'Dead Island', 'Dying Light']","['Call of Juarez', 'Call of Juarez: Bound in Blood', 'Dead Island: Riptide - Definitive Edition', 'Dead Island: Ryder White DLC', 'Dying Light: Bad Blood', 'Call of Juarez: The Cartel', 'Dead Island: Riptide', 'Dead Island: Bloodbath Arena DLC', 'Dead Island', 'Dying Light 2', 'Dying Light: The Following DLC', 'Dead Island: Definitive Edition', 'Dying Light: The Following - Enhanced Edition', 'Dying Light', 'Call of Juarez: Gunslinger', 'Chrome']"
541,tecmo,Ninja Gaiden seriesDead or Alive franchiseMonster Rancher seriesGallop Racer seriesFatal Frame series,"['Fatal Frame', 'Monster Rancher']","['Monster Rancher Advance', 'Fatal Frame', 'Monster Rancher', 'Monster Rancher 4', 'Ninja Gaiden III: The Ancient Ship of Doom', 'Monster Rancher 3', 'Ninja Gaiden (Arcade)', 'Monster Rancher EVO', 'Ninja Gaiden Trilogy', 'Fatal Frame III: The Tormented', 'Fatal Frame II: Crimson Butterfly', 'Ninja Gaiden II: The Dark Sword of Chaos', 'Monster Rancher 2']"
542,telltale games,Sam & Max episodic seriesThe Walking Dead seriesThe Wolf Among UsTales from the BorderlandsGame of ThronesMinecraft: Story Mode,"['The Wolf Among Us', 'Tales from the Borderlands', 'Minecraft: Story Mode']","['Bone: The Great Cow Race', 'Batman: The Telltale Series - Episode 2: Children of Arkham', 'Minecraft: Story Mode - Episode 1: The Order of the Stone', 'Wallace & Gromit Ep 3: Muzzled!', 'Game of Thrones - Episode 2: The Lost Lords', 'The Walking Dead: The Final Season - Episode 2: Suffer the Children', 'Game of Thrones - Episode 6: The Ice Dragon', 'The Walking Dead: Michonne - Episode 3: What We Deserve', 'The Walking Dead - Episode 2: Starved for Help', 'Minecraft: Story Mode - Episode 7: Access Denied', 'Minecraft: Story Mode - Episode 3: The Last Place You Look', 'Sam & Max 302: The Tomb of Sammun-Mak', 'The Walking Dead: The Final Season - Episode 1: Done Running', 'Minecraft: Story Mode - Episode 4: A Block and a Hard Place', 'Minecraft: Story Mode - Season Two: Episode 1 - Hero in Residence', 'Minecraft: Story Mode - Episode 5: Order Up!', 'Law & Order: Legacies', 'Wallace & Gromit Ep 4: The Bogey Man', 'Wallace & Gromit Ep 2: The Last Resort', 'Back to the Future: The Game', 'Tales of Monkey Island: Chapter 1 - Launch of the Screaming Narwhal', 'The Walking Dead - Episode 4: Around Every Corner', 'Sam & Max 301: The Penal Zone', ""Sam & Max: The Devil's Playhouse"", 'Tales from the Borderlands: Episode 3 - Catch A Ride', 'Minecraft: Story Mode - Episode 6: A Portal to Mystery', 'The Walking Dead: A New Frontier', 'Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay', 'Batman: The Telltale Series - Episode 3: New World Order', 'The Walking Dead: Michonne', 'Sam & Max 304: Beyond the Alley of the Dolls', 'Guardians of the Galaxy: The Telltale Series - Episode 2: Under Pressure', 'Sam & Max 201: Ice Station Santa', 'Jurassic Park: The Game - Episode 1: The Intruder', 'Tales of Monkey Island: Chapter 5 - Rise of the Pirate God', 'Back to the Future: The Game - Episode 5: Outatime', 'Sam & Max 203: Night of the Raving Dead', ""The Walking Dead: Season 2 - Episode 3: In Harm's Way"", 'Sam & Max 101: Culture Shock', 'Minecraft: Story Mode - Season Two', 'The Walking Dead: Michonne - Episode 1: In Too Deep', ""Back to the Future: The Game - Episode 1: It's About Time"", 'Back to the Future: The Game - Episode 2: Get Tannen!', 'The Walking Dead: Season 2 - Episode 4: Amid The Ruins', 'Game of Thrones - Episode 1: Iron From Ice', 'Minecraft: Story Mode', 'Sam & Max 305: The City That Dares Not Sleep', 'CSI: 3 Dimensions of Murder', 'The Walking Dead - A Telltale Games Series', 'The Walking Dead: Season 2 - Episode 1: All That Remains', 'Sam & Max 202: Moai Better Blues', 'The Wolf Among Us: Season 2', 'The Walking Dead Collection: The Telltale Series', 'The Wolf Among Us - Episode 3: A Crooked Mile', 'Tales of Monkey Island: Chapter 3 - Lair of the Leviathan', 'Sam & Max Beyond Time and Space', 'Batman: The Enemy Within - Episode 4: What Ails You', ""Minecraft: Story Mode - Episode 8: A Journey's End?"", 'Batman: The Enemy Within - Episode 5: Same Stitch', 'Game of Thrones - Episode 5: A Nest of Vipers', 'Batman: The Telltale Series', 'Minecraft: Story Mode - Season Two: Episode 4 - Below the Bedrock', 'The Walking Dead: Season 2 - Episode 2: A House Divided', 'Jurassic Park: The Game', 'The Walking Dead: A New Frontier - Episode 1: Ties That Bind (Part I)', 'Game of Thrones - Episode 3: The Sword in the Darkness', ""Sam & Max 205: What's New, Beelzebub?"", 'Sam & Max 102: Situation: Comedy', 'The Walking Dead: A New Frontier - Episode 2: Ties That Bind (Part II)', 'Sam & Max 104: Abe Lincoln Must Die!', 'Game of Thrones - Episode 4: Sons of Winter', 'Sam & Max Save the World', 'The Walking Dead: A New Frontier - Episode 4: Thicker Than Water', 'Back to the Future: The Game - Episode 3: Citizen Brown', 'The Walking Dead: Season 2', 'Batman: The Telltale Series - Episode 5: City of Lights', 'The Walking Dead: 400 Days', 'Minecraft: Story Mode - Season Two: Episode 5 - Above and Beyond', 'Tales of Monkey Island', 'The Walking Dead: Michonne - Episode 2: Give No Shelter', ""Guardians of the Galaxy: The Telltale Series - Episode 5: Don't Stop Believin'"", 'The Walking Dead: A New Frontier - Episode 3: Above the Law', 'The Walking Dead - Episode 1: A New Day', 'Minecraft: Story Mode - Episode 2: Assembly Required', 'Sam & Max 204: Chariots of the Dogs', 'Tales of Monkey Island: Chapter 4 - The Trial and Execution of Guybrush Threepwood', 'Tales from the Borderlands', 'Batman: The Telltale Series - Episode 4: Guardian of Gotham', 'Guardians of the Galaxy: The Telltale Series - Episode 4: Who Needs You', 'Guardians of the Galaxy: The Telltale Series', 'Batman: The Enemy Within - Episode 1: The Enigma', ""Wallace & Gromit's Grand Adventures"", 'Sam & Max 106: Bright Side of the Moon', 'Jurassic Park: The Game - Episode 2: The Cavalry', ""Sam & Max 303: They Stole Max's Brain!"", 'Batman: The Enemy Within - Episode 2: The Pact', 'Wallace & Gromit Ep 1: Fright of the Bumblebees', 'Sam & Max 103: The Mole, the Mob, and the Meatball', 'Jurassic Park: The Game - Episode 4: The Survivors', 'Sam & Max 105: Reality 2.0', 'Batman: The Enemy Within', 'Tales from the Borderlands: Episode 5 - The Vault of the Traveler', 'The Walking Dead: Season 2 - Episode 5: No Going Back', 'Guardians of the Galaxy: The Telltale Series - Episode 3: More Than a Feeling', 'The Wolf Among Us - Episode 1: Faith', 'Back to the Future: The Game - Episode 4: Double Visions', 'The Wolf Among Us - Episode 5: Cry Wolf', 'The Wolf Among Us - Episode 2: Smoke and Mirrors', 'Game of Thrones - A Telltale Games Series', 'Batman: The Telltale Series - Episode 1: Realm of Shadows', 'Bone: Out from Boneville', 'The Wolf Among Us', 'Tales from the Borderlands: Episode 1 - Zer0 Sum', 'The Walking Dead - Episode 5: No Time Left', 'Tales from the Borderlands: Episode 2 - Atlas Mugged', ""The Wolf Among Us - Episode 4: In Sheep's Clothing"", 'Jurassic Park: The Game - Episode 3: The Depths', 'The Walking Dead: A New Frontier - Episode 5: From the Gallows', 'Minecraft: Story Mode - Season Two: Episode 2 - Giant Consequences', 'The Walking Dead - Episode 3: Long Road Ahead', 'Guardians of the Galaxy: The Telltale Series - Episode 1: Tangled Up in Blue', 'Tales from the Borderlands: Episode 4 - Escape Plan Bravo', 'Minecraft: Story Mode - Season Two: Episode 3 - Jailhouse Block', 'Poker Night at the Inventory', 'Batman: The Enemy Within - Episode 3: Fractured Mask']"
543,tencent games,Ring of Elysium,['Ring of Elysium'],['Ring of Elysium']
544,tequila works,Deadlight,['Deadlight'],['Deadlight']
545,terminal reality,Monster Truck Madness series,[],[]
546,tetris online,Tetris Friends,[],[]
547,teyon,Heavy Fire series,[],['Heavy Fire: Afghanistan']
548,thatgamecompany,JourneySky,['Journey'],['Journey']
549,thatgamecompany,JourneySky,[],[]
550,the chinese room,Amnesia: A Machine For Pigs,[],[]
551,the coalition,Gears of War series,[],"['Gears of War 4', 'Gears Tactics', 'Gears 5']"
552,the farm 51,Get Even,['Get Even'],['Get Even']
554,three fields entertainment,Danger Zone seriesDangerous Driving series,"['Danger Zone', 'Dangerous Driving']","['Dangerous Golf', 'Danger Zone 2', 'Danger Zone', 'Dangerous Driving']"
555,three rings design,Doctor Who: Worlds in Time,[],[]
556,timegate studios,Kohan seriesSection 8 series,['Section 8'],"['Section 8: Prejudice', 'Section 8', 'Kohan II: Kings of War']"
557,timegate studios,Kohan seriesSection 8 series,[],[]
558,toaplan,Snow Bros.,['Snow Bros'],['Snow Bros']
559,tokyo rpg factory,I Am SetsunaLost SphearOninaki,"['I Am Setsuna', 'Lost Sphear']","['Lost Sphear', 'I Am Setsuna']"
562,torpex games,Schizoid,['Schizoid'],['Schizoid']
563,torus games,Scooby-Doo! First FrightsScooby-Doo! and the Spooky SwampShrek Smash n' Crash RacingMonster Jam,"['Scooby-Doo! First Frights', 'Monster Jam', ""Shrek Smash n' Crash Racing"", 'Scooby-Doo! and the Spooky Swamp']","['Scooby-Doo! and the Spooky Swamp', ""Shrek Smash n' Crash Racing"", 'Monster Jam', 'Scooby-Doo! First Frights']"
564,tose,The Legendary Starfy seriesDragon Quest Monsters seriesSlime seriesWorld of Final Fantasy,[],"['Dragon Quest Monsters: Joker', 'Dragon Quest Monsters: Caravan Heart', 'Frankenstein: The Monster Returns', 'Dragon Ball Z: Idainaru Dragon Ball Densetsu', 'Dragon Ball: Daimaou Fukkatsu', 'Dragon Ball Z: Kyoushuu! Saiyajin', 'Dragon Ball Z: Super Goku Den - Totsugeki-Hen', 'Dragon Ball Z: Hyper Dimension', 'Dragon Quest Heroes: Rocket Slime', 'Dragon Quest Monsters 1+2', 'Dragon Ball Z: Chou Saiya Densetsu', 'Dragon Ball Z: Shin Butouden', 'Pinball Quest', 'Dragon Ball Z Super Gokuden: Kakusei-Hen', 'Star Ocean: First Departure', 'The Nightmare Before Christmas: The Pumpkin King', 'Naruto: Path of the Ninja 2', 'Star Ocean: Second Evolution']"
565,tose,The Legendary Starfy seriesDragon Quest Monsters seriesSlime seriesWorld of Final Fantasy,['The Legendary Starfy'],"['Dragon Ball Z Gaiden: Saiyajin Zetsumetsu Keikaku', 'Dragon Quest Monsters: Joker 2', 'Dragon Quest Monsters: Joker 3', ""Dragon Warrior Monsters 2: Tara's Adventure"", 'The Legend of Kage', 'The Legendary Starfy', 'Final Fantasy V Advance', 'Legends of the Diamond', ""Dragon Warrior Monsters 2: Cobi's Journey""]"
566,toys for bob,Skylanders seriesSpyro Reignited Trilogy,[],[]
567,toys for bob,Skylanders seriesSpyro Reignited Trilogy,['Spyro Reignited Trilogy'],['Spyro Reignited Trilogy']
568,trapdoor,Warp,['Warp'],['Warp']
569,transmission games,Heroes of the PacificHeroes Over Europe,"['Heroes Over Europe', 'Heroes of the Pacific']","['Heroes Over Europe', 'Heroes of the Pacific']"
570,traveller's tales,Lego series,[],[]
