,Developer,Notable games,selected_titles,selected_titles_series
302,legacy interactive,Emergency Room series,[],[]
303,legend entertainment,Spellcasting seriesSuperhero League of HobokenThe Wheel of TimeUnreal II,"['Superhero League of Hoboken', 'The Wheel of Time']","['Spellcasting 301: Spring Break', 'Superhero League of Hoboken', ""Spellcasting 201: The Sorcerer's Appliance"", 'Unreal II: The Awakening', 'Spellcasting 101: Sorcerers Get All the Girls', 'The Wheel of Time']"
305,level-5,Dark Cloud seriesRogue GalaxyProfessor Layton seriesInazuma Eleven seriesNi no Kuni seriesYo-Kai Watch franchiseFantasy Life seriesThe Snack WorldDragon Quest VIII–IX,[],['Yo-kai Watch 2: Bony Spirits and Fleshy Souls']
306,level-5,Dark Cloud seriesRogue GalaxyProfessor Layton seriesInazuma Eleven seriesNi no Kuni seriesYo-Kai Watch franchiseFantasy Life seriesThe Snack WorldDragon Quest VIII–IX,"['Dark Cloud', 'Inazuma Eleven', 'Fantasy Life', 'Yo-Kai Watch']","['Dark Cloud 2', 'Inazuma Eleven 2', 'Inazuma Eleven 3: Challenge to the World', 'Inazuma Eleven', 'Dragon Quest VIII: Journey of the Cursed King', 'Professor Layton and the Azran Legacy', 'Dark Cloud', 'Professor Layton and the Unwound Future', 'Yo-Kai Watch', 'Fantasy Life', 'Inazuma Eleven GO 2: Chrono Stone', 'Professor Layton and the Curious Village', 'Professor Layton and the Miracle Mask', 'Inazuma Eleven GO', 'Professor Layton and the Diabolical Box', 'Yo-kai Watch Blasters', 'Ni no Kuni II: Revenant Kingdom']"
307,limbic entertainment,Might & Magic X: LegacyMight & Magic Heroes VIITropico 6,"['Might & Magic Heroes VII', 'Tropico 6']","['Might & Magic Heroes VII', 'Tropico 6']"
308,lionhead studios,Black & White seriesFable series,['Black & White'],"['Black & White 2: Battle of the Gods', 'Fable Anniversary', 'Fable II', 'Fable Legends', 'Fable Heroes', 'Fable III', 'Fable III: Understone Quest DLC', ""Fable III: Traitor's Keep DLC"", 'Black & White 2', 'Fable II: See the Future DLC', 'Black & White', 'Black & White: Creature Isle', 'Fable II: Knothole Island DLC']"
309,liquid entertainment,Battle Realms,['Battle Realms'],['Battle Realms']
310,little green men games,Starpoint Gemini,['Starpoint Gemini'],['Starpoint Gemini']
311,lk avalon,Hans KlossSchizm: Mysterious Journey,[],[]
313,linden lab,Second Life,['Second Life'],['Second Life']
314,locomotive games,Jet Moto 3,[],[]
315,looking glass studios,Ultima Underworld seriesSystem Shock seriesThief series,['System Shock'],"['System Shock', 'Thief Gold', 'Thief II: The Metal Age']"
